team,map_name,pistol_round_win_rate,n_pistol_rounds,ct_win_rate,n_ct_rounds,t_win_rate,n_t_rounds
-72c,Ancient,0.4090909090909091,22,0.49122807017543857,114,0.36607142857142855,112
-72c,Anubis,0.45454545454545453,22,0.3592233009708738,103,0.4649122807017544,114
-72c,Dust2,0.3888888888888889,18,0.3888888888888889,90,0.6276595744680851,94
-72c,Inferno,0.5,2,0.16666666666666666,12,0.4,5
-72c,Mirage,0.6111111111111112,18,0.47,100,0.5609756097560976,82
-72c,Nuke,0.0,2,0.4166666666666667,12,0.4,10
100PG,Ancient,0.5,2,0.6666666666666666,12,0.7142857142857143,7
100PG,Dust2,1.0,2,0.3333333333333333,9,0.4166666666666667,12
100PG,Mirage,1.0,2,0.4166666666666667,12,0.7272727272727273,11
1ADL,Ancient,0.5,6,0.41935483870967744,31,0.6,35
1ADL,Anubis,1.0,2,0.3,10,0.5,12
1ADL,Inferno,0.5,2,0.16666666666666666,12,0.6666666666666666,9
1ADL,Mirage,0.5,4,0.4583333333333333,24,0.6086956521739131,23
1ADL,Nuke,1.0,4,0.625,24,0.7333333333333333,15
1DayHeroes,Ancient,0.5,2,0.5,12,0.4166666666666667,12
1DayHeroes,Anubis,0.75,4,0.25,24,0.3333333333333333,12
1DayHeroes,Inferno,0.5,6,0.3055555555555556,36,0.6666666666666666,21
1DayHeroes,Mirage,0.25,4,0.375,24,0.3888888888888889,18
1DayHeroes,Nuke,0.5,2,0.25,12,0.2,5
1DayHeroes,Overpass,0.5,2,0.375,8,0.3333333333333333,12
1DayHeroes,Train,0.5,2,0.5833333333333334,12,0.3333333333333333,12
1WIN NA,Ancient,0.0,2,0.16666666666666666,12,0.0,3
1WIN NA,Anubis,0.5,2,0.25,8,0.4166666666666667,12
1WIN NA,Dust2,0.5,2,0.16666666666666666,12,0.0,3
1WIN NA,Mirage,0.5,2,0.42857142857142855,7,0.25,12
1win,Ancient,0.5178571428571429,56,0.4371069182389937,318,0.5054151624548736,277
1win,Anubis,0.46153846153846156,26,0.35664335664335667,143,0.6417910447761194,134
1win,Dust2,0.5566037735849056,106,0.5525210084033614,476,0.5718901453957996,619
1win,Inferno,0.4791666666666667,48,0.5058365758754864,257,0.609375,256
1win,Mirage,0.5909090909090909,66,0.5470085470085471,351,0.4970588235294118,340
1win,Nuke,0.6,10,0.43333333333333335,60,0.4,40
1win,Overpass,0.2222222222222222,18,0.5392156862745098,102,0.3,90
1win,Train,0.5178571428571429,56,0.5704918032786885,305,0.47278911564625853,294
2070,Ancient,0.4166666666666667,24,0.6106194690265486,113,0.41134751773049644,141
2070,Anubis,0.5454545454545454,22,0.464,125,0.5,122
2070,Dust2,0.4375,16,0.3333333333333333,96,0.5211267605633803,71
2070,Inferno,0.4166666666666667,12,0.45454545454545453,44,0.4583333333333333,72
2070,Mirage,0.2857142857142857,14,0.28169014084507044,71,0.4411764705882353,68
2070,Nuke,0.5454545454545454,22,0.4793388429752066,121,0.46218487394957986,119
2070,Train,0.0,2,0.16666666666666666,12,0.0,3
28AvgAge,Ancient,0.8333333333333334,6,0.4722222222222222,36,0.5882352941176471,34
28AvgAge,Dust2,1.0,2,0.8,5,0.75,12
28AvgAge,Inferno,0.0,4,0.4166666666666667,24,0.3888888888888889,18
2GAME,Anubis,0.43333333333333335,30,0.5508982035928144,167,0.5138888888888888,144
2GAME,Dust2,0.5,50,0.5737704918032787,244,0.525,280
2GAME,Inferno,0.36666666666666664,30,0.4625,160,0.46206896551724136,145
2GAME,Mirage,0.5238095238095238,42,0.5311004784688995,209,0.4622222222222222,225
2GAME,Nuke,0.46,50,0.5035211267605634,284,0.43209876543209874,243
2GAME,Overpass,0.375,8,0.5348837209302325,43,0.43243243243243246,37
2GAME,Train,0.38235294117647056,34,0.5095541401273885,157,0.4336734693877551,196
3DMAX,Ancient,0.6018518518518519,108,0.4600326264274062,613,0.48872180451127817,532
3DMAX,Anubis,0.5142857142857142,70,0.4584450402144772,373,0.5451977401129944,354
3DMAX,Dust2,0.45555555555555555,90,0.4829787234042553,470,0.5168986083499006,503
3DMAX,Inferno,0.576271186440678,118,0.5051020408163265,588,0.5692771084337349,664
3DMAX,Nuke,0.43617021276595747,94,0.5641547861507128,491,0.4346076458752515,497
